Product,Sales_volume(kg),Brand,Price(TL),Price(TL/Sales_volume),Quality_Score,Delivery_Time,Fav_number,Comment_Count,Store
yumurta,15.0,Yumtat,62.0,4.13,3.0,2.0,0,0.0,Hakmar
yumurta,15.0,Carrefour,59.5,3.97,3.0,2.0,0,0.0,Carrefour
yumurta,15.0,Hasanbey Çifiği,146.25,9.75,4.0,2.0,260,46.0,TRENDYOL
yumurta,15.0,Bili Bili,59.5,3.97,5.0,4.0,742,6.0,BİM
ayçiçek yağı,5.0,TMO,195.0,39.0,4.9,2.0,580,27.0,Kooperatif
ayçiçek yağı,5.0,Bizce,159.0,31.8,3.5,3.0,378,35.0,A101
ayçiçek yağı,5.0,Yudum,224.9,44.98,4.0,4.0,97,44.0,ŞOK
ayçiçek yağı,18.0,Biryağ,989.0,54.94,3.0,5.0,53,0.0,Migros Toptan
ayçiçek yağı,18.0,Yudum,849.0,47.17,4.0,3.0,158,22.0,A101
ayçiçek yağı,5.0,Biryağ,209.3,41.86,3.8,5.0,3,40.0,Carrefour
ayçiçek yağı,5.0,Biryağ,176.9,35.38,2.0,4.0,863,21.0,Carrefour
ayçiçek yağı,5.0,Sırma,184.9,36.98,3.0,2.0,22,26.0,Carrefour
ayçiçek yağı,5.0,Tarım Kredi,247.52,49.5,4.0,3.0,101,49.0,PTT AVM
ayçiçek yağı,5.0,Komili,235.0,47.0,3.0,5.0,935,30.0,Carrefour
ayçiçek yağı,18.0,Migros,750.0,41.67,2.7,5.0,210,50.0,Migros
ayçiçek yağı,5.0,Vera,209.0,41.8,3.7,4.0,704,17.0,A101
ayçiçek yağı,10.0,Biryağ,590.17,59.02,5.0,3.0,332,23.0,n11
ayçiçek yağı,5.0,Kristal,363.0,72.6,5.0,5.0,69,23.0,n11
ayçiçek yağı,8.0,Biryağ,589.9,73.74,5.0,4.0,677,5.0,n11
ayçiçek yağı,2.0,Biryağ,197.9,98.95,5.0,4.0,2,21.0,n11
ayçiçek yağı,5.0,Orkide,2615.0,523.0,5.0,5.0,971,45.0,n11
ayçiçek yağı,2.0,Kristal,159.0,79.5,5.0,5.0,257,34.0,n11
ayçiçek yağı,5.0,Biryağ,369.21,73.84,4.7,4.0,249,15.0,n11
ayçiçek yağı,10.0,Yudum,950.0,95.0,4.8,3.0,930,8.0,n11
ayçiçek yağı,18.0,Carrefour,982.5,54.58,4.0,5.0,403,22.0,Carrefour
ayçiçek yağı,4.0,Abalı,139.0,34.75,5.0,4.0,304,6.0,A101
ayçiçek yağı,5.0,Karam,159.0,31.8,4.8,4.0,7,3.0,A101
ayçiçek yağı,5.0,Carrefour,249.0,49.8,3.0,2.0,714,13.0,Carrefour
ayçiçek yağı,5.0,Abalı,199.96,39.99,4.0,5.0,539,25.0,Migros
ayçiçek yağı,5.0,Emek,238.95,47.79,5.0,3.0,16,39.0,Migros
ayçiçek yağı,5.0,Karam,175.0,35.0,3.0,5.0,304,40.0,A101
ayçiçek yağı,5.0,Olin,424.14,84.83,5.0,3.0,279,14.0,PttAVM
ayçiçek yağı,5.0,Torku,229.0,45.8,5.0,5.0,686,46.0,A101
ayçiçek yağı,5.0,Safya,189.0,37.8,5.0,3.0,805,57.0,A101
ayçiçek yağı,5.0,Orkide,211.16,42.23,4.0,3.0,366,53.0,Migros
ayçiçek yağı,4.0,Biryağ,224.95,56.24,3.0,4.0,733,26.0,GetirBüyük
ayçiçek yağı,5.0,Orkide,2615.0,523.0,4.2,5.0,507,70.0,n11
ayçiçek yağı,2.0,Kristal,159.0,79.5,5.0,1.0,1009,70.0,n11
ayçiçek yağı,5.0,Biryağ,369.21,73.84,4.6,5.0,1717,63.0,n11
ayçiçek yağı,10.0,Yudum,950.0,95.0,4.8,5.0,527,34.0,n11
ayçiçek yağı,4.0,Kırlangıç,349.0,87.25,4.7,3.0,629,35.0,n11
ayçiçek yağı,20.0,Olin,1639.0,81.95,4.5,5.0,635,41.0,n11
ayçiçek yağı,20.0,Yudum,1899.9,95.0,4.8,2.0,818,47.0,n11
ayçiçek yağı,2.0,Orkide,185.0,92.5,4.0,4.0,396,61.0,n11
ayçiçek yağı,5.0,Torku,229.0,45.8,5.0,5.0,1122,66.0,A101 
ayçiçek yağı,5.0,Safya,189.0,37.8,4.0,5.0,1516,12.0,A101
ayçiçek yağı,5.0,Orkide,211.16,42.23,4.0,2.0,1011,2.0,Migros
ayçiçek yağı,4.0,Biryağ,224.95,56.24,3.0,5.0,1111,50.0,GetirBüyük 
ayçiçek yağı,5.0,Yudum,299.95,59.99,4.5,5.0,986,70.0,GetirBüyük 
ayçiçek yağı,18.0,Orkide,949.9,52.77,4.1,5.0,67,7.0,Migros
ayçiçek yağı,4.0,Yudum,149.9,37.48,4.0,1.0,434,38.0,Şok
ayçiçek yağı,5.0,Kırlangıç,211.96,42.39,4.2,4.0,1566,3.0,Migros 
ayçiçek yağı,18.0,Dare,860.0,47.78,3.9,3.0,1020,5.0,Migros Toptan 
ayçiçek yağı,18.0,Trakyayağ,1389.0,77.17,2.9,4.0,1250,36.0,CarrefourSA 
ayçiçek yağı,3.0,Yudum,149.9,49.97,3.6,1.0,1956,7.0,CarrefourSA 
ayçiçek yağı,18.0,Tarım Kredi,970.0,53.89,5.0,2.0,194,20.0,Kooperatif 
toz şeker,1.0,Hanzade,49.0,49.0,2.4,5.0,648,59.0,ebitkisel 
toz şeker,1.0,Bal Küpü,41.95,41.95,3.0,3.0,1579,44.0,CarrefourSA 
toz şeker,1.0,Naturdan,399.9,399.9,3.0,2.0,1712,57.0,n11 
toz şeker,1.0,Torku,42.5,42.5,4.0,1.0,801,37.0,A101 
toz şeker,1.0,"Dr, Gusto",104.76,104.76,2.3,3.0,1701,4.0,PttAVM 
toz şeker,1.0,Gaziantep Pazarı,88.23,88.23,4.0,2.0,710,27.0,PttAVM 
toz şeker,1.0,Topçuoğlu,82.9,82.9,5.0,1.0,1477,5.0,n11 
toz şeker,1.0,Mgs,363.19,363.19,4.0,5.0,802,3.0,Idefix 
toz şeker,2.0,Yazar,487.6,243.8,5.0,1.0,1316,14.0,n11 
toz şeker,1.0,Yazar,89.25,89.25,3.0,2.0,1526,18.0,PttAVM 
toz şeker,1.0,Aktar,462.4,462.4,4.0,5.0,1544,34.0,n11 
toz şeker,1.0,Tarım Kredi,103.88,103.88,5.0,4.0,716,46.0,Amazon 
toz şeker,1.0,Tito,1677.38,1677.38,4.0,4.0,1148,37.0,Amazon
toz şeker,1.0,Tito,1677.38,1677.38,4.0,3.0,1576,26.0,Amazon
toz şeker,1.0,Yazar,266.17,266.17,5.0,3.0,1235,8.0,PttAVM
toz şeker,1.0,Doğuş,42.5,42.5,5.0,1.0,642,16.0,A101
toz şeker,1.0,Balküpü,160.75,160.75,3.0,3.0,1206,58.0,PttAVM 
toz şeker,1.0,Albeyaz,42.5,42.5,4.0,5.0,1172,48.0,A101
toz şeker,1.0,Tito,1677.38,1677.38,5.0,2.0,883,1.0,Amazon
toz şeker,1.0,Bor,23.9,23.9,4.0,4.0,1295,26.0,CarrefourSA 
toz şeker,6.0,Yazar,919.6,153.27,4.0,2.0,368,3.0,PttAVM 
toz şeker,1.0,Başak,42.7,42.7,5.0,2.0,572,44.0,Listensi
toz şeker,1.0,Tatküpü,30.9,30.9,5.0,4.0,670,8.0,CarrefourSA 
toz şeker,1.0,Irmak,26.9,26.9,3.0,2.0,165,61.0,CarrefourSA 
toz şeker,6.0,Yazar,919.6,153.27,4.0,3.0,905,64.0,PttAVM
toz şeker,1.0,Başak,42.7,42.7,5.0,1.0,710,42.0,Listensi
toz şeker,1.0,Tatküpü,30.9,30.9,4.0,2.0,1591,2.0,CarrefourSA 
toz şeker,1.0,Irmak,26.9,26.9,4.0,4.0,108,26.0,CarrefourSA 
toz şeker,1.0,Nar,39.95,39.95,5.0,4.0,1468,59.0,Migros
toz şeker,1.0,Migros,36.5,36.5,3.0,1.0,485,21.0,Migros
toz şeker,1.0,Aktar Store,312.8,312.8,2.0,2.0,332,22.0,n11
toz şeker,1.0,Tito,1677.38,1677.38,3.0,2.0,254,28.0,Amazon
toz şeker,1.0,"Dr, Gusto",92.5,92.5,4.6,4.0,243,2447.0,TRENDYOL
