"Product","Sales volume(KG/lt)","Brand","Price(TL)","Price per Liter/kg","Quality_Score","Delivery_Time","fav_number","Comment Count","Store"
"Organik Un","0.32","Wefood","155.94","487.31","4.8","2","419","223","TRENDYOL"
"Organik Un","1","İpek Değirmen","199.9","199.90","4.6","1","199","217","TRENDYOL"
"Organik Un","1","OG Natural","189","189.00","4.8","2","420","1050","TRENDYOL"
"Organik Un","0.3","OG Natural","124.9","416.33","4.8","3","282","2641","TRENDYOL"
"Organik Un","0.32","Lotus Natura","161.5","504.69","4.8","3","129","25","TRENDYOL"
"Organik Un","0.5","Soul Kitchen","123.22","246.44","4.8","4","356","344","TRENDYOL"
"Organik Un","0.25","Makarna Lütfen","214.91","859.64","4.7","1","57","2287","TRENDYOL"
"Organik Un","0.5","BIF Mochi","108.2","216.40","4.7","2","4","289","TRENDYOL"
"Organik Un","0.5","Wefood","101.94","203.88","4.7","3","267","662","TRENDYOL"
"Mor Un ","5","İpek Değirmen","199.9","39.98","4.7","5","115","305","TRENDYOL"
"Mor Un ","0.5","Söke","46.95","93.90","5","4","149","0","Migros"
"Mor Un ","6","Kappadokia","489.99","81.67","4.9","2","244","0","n11"
"Mor Un ","3","Söke","425","141.67","4.9","5","238","0","PttAVM"
"Mor Un ","25","Özkaşıkçı","710.71","28.43","4.1","1","61","0","PttAVM"
"Mor Un ","1","Sinangil","62.9","62.90","4","2","272","0","Carrefour"
"Mor Un ","6","Kappadokia","385.87","64.31","4.7","4","0","0","PttAVM"
"Mor Un ","0.5","Devrekani","179","358.00","5","2","135","5","Amazon"
"Mor Un ","1","Kappadokia","105.38","105.38","3","3","0","0","PttAVM"
"Mor Un ","10","NORA UN","892.99","89.30","5","2","4","0","TRENDYOL"
"Yumurta","30","Yiltav","79.9","2.66","2.4","2","0","0","Kooperatif"
"Yumurta","30","Raya","226.9","7.56","3","2","0","0","Exporigin"
"Yumurta","30","Kozlu","95","3.17","2","4","0","0","Kooperatif"
"Yumurta","30","Kumbasar","141.4","4.71","2.5","2","0","0","Carrefour"
"Yumurta","30","Türem","125","4.17","4","3","0","0","Kooperatif"
"Yumurta","30","Kozlu Yeniana","125","4.17","3","4","0","0","Kooperatif"
"Yumurta","30","Abalı Çifiği","125","4.17","3","1","0","0","Şok"
